"","unique_ID","ethR_1","ethR_2","ethR_3","ethR_4","ethR_5","ethR_6","ethP_1","ethP_2","ethP_3","ethP_4","ethP_5","ethP_6","ethB_1","ethB_2","ethB_3","ethB_4","ethB_5","ethB_6","finR_1","finR_2","finR_3","finR_4","finR_5","finR_6","finP_1","finP_2","finP_3","finP_4","finP_5","finP_6","finB_1","finB_2","finB_3","finB_4","finB_5","finB_6","heaR_1","heaR_2","heaR_3","heaR_4","heaR_5","heaR_6","heaP_1","heaP_2","heaP_3","heaP_4","heaP_5","heaP_6","heaB_1","heaB_2","heaB_3","heaB_4","heaB_5","heaB_6","recR_1","recR_2","recR_3","recR_4","recR_5","recR_6","recP_1","recP_2","recP_3","recP_4","recP_5","recP_6","recB_1","recB_2","recB_3","recB_4","recB_5","recB_6","socR_1","socR_2","socR_3","socR_4","socR_5","socR_6","socP_1","socP_2","socP_3","socP_4","socP_5","socP_6","socB_1","socB_2","socB_3","socB_4","socB_5","socB_6","Gender","Birth_Year","Marital_Status","Children","Race_7","Ethnicity","Edu_ori","Political","Political_TEXT","Income","Employment","Race","Age","SOEPgen","SOEPdri","SOEPfin","SOEPrec","SOEPocc","SOEPhea","Education","subsample"
"56","154338",1,1,1,1,1,1,7,7,7,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,7,7,7,1,1,1,1,1,1,1,4,1,1,2,1,7,6,3,6,2,6,1,1,1,1,1,1,1,1,1,1,1,2,2,7,6,5,7,6,1,1,1,1,1,1,6,4,4,1,1,4,1,3,4,3,1,5,1,1,4,1,1,2,2,1968,"1",0,NA,"2",6,"Rep.","",1,"6","3",48,NA,NA,NA,NA,NA,NA,"3","A"
"57","154339",1,1,1,1,1,3,6,7,7,6,7,2,4,1,1,1,1,3,1,5,1,2,1,2,7,3,7,7,7,6,3,3,4,2,2,2,1,7,1,1,2,1,6,4,6,7,4,6,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,7,1,5,1,1,5,1,2,5,4,1,5,1,1,4,2,2,4,1,1984,"2",0,NA,"2",3,"Dem.","",5,"6","3",32,NA,NA,NA,NA,NA,NA,"2","A"
"58","154340",1,1,1,4,1,3,6,5,5,3,3,2,4,1,3,1,3,3,1,5,1,1,1,2,6,3,7,6,7,5,2,5,2,1,2,4,2,1,3,1,6,2,3,5,4,7,6,6,1,1,1,1,3,1,5,1,4,5,3,3,5,5,6,2,4,4,5,1,4,3,2,6,7,3,2,7,5,2,1,4,4,2,4,2,1,3,4,5,4,5,1,1975,"1",1,NA,"2",2,"Ind.","",2,"1","3",41,NA,NA,NA,NA,NA,NA,"1","A"
"59","154341",4,2,2,4,3,7,4,6,5,5,6,1,4,1,3,1,3,7,1,4,4,2,2,2,7,3,6,6,2,2,4,4,4,2,4,4,2,6,6,3,1,4,4,6,4,5,5,6,2,1,1,1,2,3,5,4,4,3,1,4,1,5,6,6,1,6,2,1,3,1,2,4,6,7,5,3,4,2,1,1,6,3,1,6,1,3,4,4,2,5,2,1989,"1",0,NA,"2",5,"Ind.","",1,"1","3",27,NA,NA,NA,NA,NA,NA,"2","A"
"60","154343",3,1,1,1,1,1,5,7,5,5,7,2,4,2,2,1,1,2,2,7,1,5,1,6,5,2,5,2,3,5,4,2,2,2,2,3,1,2,1,1,5,1,6,7,5,6,4,7,1,1,1,1,1,1,1,1,1,2,1,6,5,5,2,6,7,5,3,1,2,1,1,2,7,5,6,5,6,6,1,4,3,4,2,1,1,2,4,3,4,3,1,1979,"3",0,NA,"2",6,"Dem.","",5,"1","1",37,NA,NA,NA,NA,NA,NA,"3","B"
"61","154344",1,1,1,5,4,1,7,7,7,5,7,3,1,2,4,2,1,7,1,4,6,1,1,5,4,5,4,7,4,4,4,4,4,1,4,4,6,1,1,1,1,4,5,7,7,7,7,7,4,1,1,1,1,1,1,1,5,1,1,1,5,7,4,7,5,7,2,1,4,1,1,1,7,3,7,1,1,7,2,6,5,6,5,5,5,1,7,1,1,4,2,1982,"4",0,NA,"2",2,"Dem.","",1,"2","3",34,NA,NA,NA,NA,NA,NA,"1","B"
"62","154345",1,1,1,1,1,1,7,7,7,3,7,1,1,1,1,1,1,3,1,5,1,1,1,1,6,3,7,3,7,5,1,3,1,2,1,3,1,1,1,1,5,5,5,7,7,7,6,3,1,1,1,1,1,1,5,1,1,1,1,1,2,3,3,7,7,7,4,1,3,1,1,1,7,7,7,7,1,7,1,5,5,2,2,5,7,4,7,7,1,4,2,1977,"2",1,NA,"2",2,"Ind.","",3,"2","3",39,NA,NA,NA,NA,NA,NA,"1","B"
"63","154346",1,1,1,1,2,1,7,7,7,7,5,2,2,1,1,1,1,4,1,7,1,5,1,3,7,2,7,3,7,6,3,6,2,3,1,3,6,2,5,1,2,3,5,7,5,7,4,4,3,1,1,1,1,3,7,1,1,1,1,1,1,7,6,6,6,6,6,1,1,1,1,5,7,5,5,5,7,4,1,4,5,3,3,5,1,3,7,3,5,6,1,1964,"2",2,NA,"2",5,"Rep.","",6,"1","3",52,NA,NA,NA,NA,NA,NA,"2","B"
"64","154347",7,1,1,1,4,7,3,5,5,3,4,1,4,1,4,1,4,7,7,7,7,1,7,4,2,2,3,4,3,5,4,4,4,4,4,4,7,7,1,1,1,1,4,4,4,5,4,5,1,1,1,1,1,1,7,1,7,7,7,7,3,7,4,2,2,3,4,1,1,1,1,1,7,7,4,1,7,4,1,2,4,7,2,5,1,1,7,1,4,4,2,1991,"1",0,NA,"2",5,"Ind.","",4,"1","4",25,NA,NA,NA,NA,NA,NA,"2","B"
"65","154348",1,1,1,1,2,4,6,7,6,4,4,3,3,1,1,1,1,5,2,5,1,3,1,3,6,2,7,3,7,2,2,5,1,2,1,4,1,4,2,3,5,3,6,4,3,4,4,2,1,1,1,1,1,1,4,2,4,2,3,6,3,5,3,4,5,3,4,3,3,3,1,4,7,4,7,7,4,5,2,4,1,3,1,3,3,3,6,3,4,3,2,1994,"1",0,NA,"1",4,"Ind.","",3,"1","3",22,NA,NA,NA,NA,NA,NA,"2","B"
"66","154349",3,2,3,3,3,6,6,5,4,2,4,2,3,2,2,1,3,6,3,5,2,1,1,2,5,2,5,6,5,6,6,4,6,5,5,5,2,5,1,1,6,2,6,4,6,6,2,5,2,2,1,1,2,1,5,1,1,5,4,5,2,6,6,3,3,3,4,1,1,4,2,3,6,5,6,5,3,7,2,3,3,2,4,4,4,4,5,3,3,5,1,1987,"4",2,NA,"2",5,"Dem.","",2,"1","3",29,NA,NA,NA,NA,NA,NA,"2","A"
"67","154350",5,1,1,2,1,5,4,7,7,4,7,3,2,1,1,1,1,3,1,4,1,4,1,4,7,2,7,2,7,2,1,5,1,5,1,5,1,5,1,1,6,4,7,5,6,7,5,7,1,4,1,1,1,1,6,1,7,1,1,1,3,7,3,7,7,7,6,1,6,1,1,1,6,4,7,3,7,7,1,3,1,3,1,2,6,5,7,5,7,7,1,1976,"4",4,NA,"2",2,"Dem.","",1,"7","3",40,NA,NA,NA,NA,NA,NA,"1","B"
"68","154351",1,2,2,2,2,4,7,4,5,5,7,3,1,2,4,5,3,2,1,1,1,2,1,1,6,7,7,6,7,7,1,1,6,5,3,3,4,6,6,2,6,7,6,5,5,7,4,2,3,5,1,1,1,2,5,4,4,3,1,4,2,6,4,4,4,3,6,4,4,4,4,2,7,6,4,5,7,5,1,3,3,2,3,4,4,4,4,3,4,4,2,1978,"4",2,NA,"1",4,"Ind.","",3,"1","3",38,NA,NA,NA,NA,NA,NA,"2","A"
"69","154352",2,1,1,3,2,2,6,6,6,3,4,3,2,2,2,3,3,4,2,4,2,2,2,3,6,4,6,5,5,4,2,4,2,3,2,3,2,1,2,1,4,3,5,7,4,6,3,3,2,2,1,1,3,2,5,3,2,4,4,4,2,4,5,2,3,3,4,2,3,4,4,4,5,4,5,4,4,5,3,4,3,3,3,4,3,3,4,4,3,4,1,1984,"1",0,NA,"2",5,"Dem.","",2,"1","3",32,NA,NA,NA,NA,NA,NA,"2","B"
"70","154353",1,1,1,2,1,1,5,6,4,4,6,4,1,2,2,2,1,2,1,5,2,3,1,4,5,2,6,3,5,4,2,5,2,4,3,4,1,1,1,1,1,2,3,6,5,5,4,3,1,2,2,1,2,2,5,3,2,1,1,2,2,3,3,5,4,3,4,3,4,3,3,4,5,4,6,5,2,6,2,3,2,3,3,4,4,4,5,4,4,5,1,1975,"2",1,NA,"2",2,"Dem.","",5,"1","3",41,NA,NA,NA,NA,NA,NA,"1","B"
"71","154354",5,1,1,3,7,7,5,5,4,3,2,1,2,3,4,3,2,2,1,1,1,1,1,1,6,7,7,6,7,7,2,2,2,4,1,4,1,7,1,6,6,2,6,6,6,6,5,4,4,2,2,3,3,3,6,1,1,1,1,1,3,5,6,6,6,7,3,2,1,3,1,4,5,4,1,3,1,2,1,6,4,3,4,3,1,1,5,2,2,3,1,1978,"2",2,NA,"2",2,"Dem.","",1,"1","3",38,NA,NA,NA,NA,NA,NA,"1","A"
"72","154356",4,7,1,1,1,1,4,5,2,3,6,2,2,2,5,1,1,4,7,6,7,2,7,2,2,3,2,4,2,3,6,4,5,4,4,4,7,7,1,1,7,1,3,4,7,7,2,7,2,2,1,1,2,1,7,5,1,5,1,1,2,6,6,7,7,7,6,1,1,2,1,2,7,7,6,6,6,7,1,2,3,2,1,3,1,3,6,4,1,4,2,1978,"2",2,NA,"2",6,"Rep.","",5,"1","3",38,NA,NA,NA,NA,NA,NA,"3","B"
"73","154358",2,3,3,4,4,1,2,4,4,3,4,1,2,4,3,2,2,2,1,6,1,3,1,5,7,3,7,4,7,4,1,3,1,3,1,3,5,5,3,3,2,2,3,4,2,5,3,3,1,4,2,1,1,1,4,4,3,4,2,5,3,3,5,2,5,2,1,1,1,2,2,3,6,5,6,5,6,6,2,2,4,2,1,3,2,2,6,2,2,3,2,1968,"2",0,NA,"2",6,"Dem.","",6,"2","3",48,NA,NA,NA,NA,NA,NA,"3","B"
"74","154359",2,1,1,1,5,1,6,6,4,5,6,4,4,4,3,2,2,6,1,5,1,5,1,5,7,6,6,6,6,6,4,4,5,5,5,5,2,1,6,6,1,6,6,6,6,6,6,6,2,3,2,3,2,1,6,6,6,5,6,6,6,6,6,6,6,6,3,4,2,3,2,5,7,7,6,7,2,4,3,4,6,5,4,7,4,3,4,4,4,3,2,1993,"1",0,NA,"2",2,"Ind.","",4,"1","3",23,NA,NA,NA,NA,NA,NA,"1","A"
"75","154759",2,3,2,3,4,4,6,4,5,2,3,2,1,3,1,1,1,4,1,2,2,2,2,2,6,5,6,4,5,5,4,3,4,3,4,4,3,5,2,1,2,2,3,4,4,7,6,5,1,1,1,1,1,1,3,2,1,1,1,2,3,6,7,5,4,4,1,1,1,1,1,1,6,5,5,3,6,3,1,2,4,4,2,4,2,1,6,1,1,2,2,1994,"1",0,NA,"2",2,"Rep.","",2,"2","3",22,NA,NA,NA,NA,NA,NA,"1","A"
"76","154762",1,1,1,2,1,1,6,7,7,5,6,2,1,1,1,1,1,1,1,6,1,1,1,2,6,2,6,5,6,5,2,6,2,3,2,4,6,4,1,2,3,2,3,5,4,5,5,6,1,1,1,2,1,1,7,5,5,7,7,5,2,4,5,3,3,5,5,2,3,4,5,5,7,4,7,5,6,7,2,5,4,4,2,5,2,3,7,3,4,5,1,1979,"2",1,NA,"2",5,"Ind.","",5,"1","3",37,NA,NA,NA,NA,NA,NA,"2","B"
"77","154763",2,2,2,2,2,2,4,4,4,4,3,4,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,2,2,4,4,4,4,2,4,3,2,3,3,1,1,2,1,1,2,2,1993,"1",0,NA,"2",5,"Dem.","",1,"2","3",23,NA,NA,NA,NA,NA,NA,"2","A"
"78","154772",5,2,1,5,1,5,2,7,6,5,6,4,6,3,1,1,1,6,1,6,1,2,1,5,7,5,7,6,7,6,5,6,6,5,5,6,5,7,7,1,7,6,4,6,5,7,3,5,2,7,1,1,1,1,6,6,3,1,2,2,2,6,5,7,7,7,6,3,6,6,6,6,6,5,7,6,7,7,1,2,5,5,1,5,2,1,7,2,4,6,1,1985,"4",0,NA,"2",5,"Dem.","",6,"2","3",31,NA,NA,NA,NA,NA,NA,"2","B"
"79","154774",1,1,1,2,3,3,7,7,6,5,2,2,2,2,3,1,1,2,1,7,1,2,1,1,7,2,7,7,7,7,2,6,3,3,2,2,2,2,1,1,3,3,6,6,3,4,2,3,1,2,1,1,1,1,7,3,5,6,5,5,2,6,5,2,2,4,4,1,4,4,4,3,7,4,4,5,5,4,1,5,5,4,3,5,4,2,5,2,2,2,2,1985,"1",0,NA,"2",5,"Rep.","",4,"1","3",31,NA,NA,NA,NA,NA,NA,"2","A"
"80","154775",1,1,1,1,1,2,7,7,7,7,6,7,1,2,1,1,1,2,1,2,1,1,1,1,7,5,7,7,7,7,2,3,1,2,1,1,1,6,1,1,1,2,7,4,7,7,6,5,1,3,1,1,1,1,5,1,3,1,3,1,4,7,7,7,7,5,4,1,1,1,1,2,6,4,5,5,4,4,3,4,5,2,2,4,2,3,7,5,2,3,2,1990,"1",0,NA,"1",2,"Ind.","",5,"1","3",26,NA,NA,NA,NA,NA,NA,"1","B"
"81","154776",1,1,1,1,1,2,6,7,6,7,7,7,5,1,1,1,1,5,1,2,1,1,1,2,7,6,7,6,7,7,1,2,1,1,1,2,1,1,6,1,5,5,7,7,7,7,7,6,2,1,1,1,1,1,3,2,2,1,1,1,5,6,6,5,7,7,6,2,1,2,1,1,5,5,6,3,7,6,5,5,5,6,6,7,4,3,7,6,5,7,1,1984,"2",4,NA,"2",4,"Ind.","",4,"1","3",32,NA,NA,NA,NA,NA,NA,"2","A"
"82","154781",2,7,2,5,3,4,3,5,4,2,7,6,2,1,3,5,6,5,2,6,5,2,3,4,4,4,2,3,2,7,4,3,6,7,3,4,1,2,2,6,4,1,1,7,3,1,3,2,5,2,2,7,2,6,7,6,5,2,6,2,7,6,5,5,4,6,7,2,5,2,3,7,6,6,5,6,7,6,6,6,2,7,7,5,6,7,2,6,2,3,2,1990,"4",0,NA,"2",5,"Rep.","",4,"1","3",26,NA,NA,NA,NA,NA,NA,"2","B"
"83","154782",1,1,1,4,2,1,7,6,7,3,4,2,1,1,1,1,1,1,1,3,1,1,1,2,7,3,7,5,7,6,2,3,1,1,1,1,2,1,2,1,5,2,3,7,6,7,4,5,1,1,1,1,1,1,3,1,1,1,1,1,1,7,6,7,6,6,3,1,1,1,1,1,7,4,6,4,2,6,1,3,2,2,2,2,4,2,7,5,2,5,1,1975,"1",0,NA,"2",5,"Dem.","",1,"5","3",41,NA,NA,NA,NA,NA,NA,"2","A"
"84","154784",1,1,2,3,1,6,6,7,6,5,5,1,5,3,6,1,1,5,1,1,1,1,1,1,5,5,4,5,4,6,7,7,7,7,6,7,2,1,1,1,7,6,3,7,6,7,5,4,1,4,1,1,1,1,3,1,2,1,1,1,3,6,6,7,7,7,2,1,1,1,1,1,6,3,5,2,5,5,2,5,5,4,3,4,1,2,6,1,2,4,2,1987,"1",0,NA,"2",5,"Ind.","",4,"1","3",29,NA,NA,NA,NA,NA,NA,"2","B"
"85","154785",4,1,1,3,1,1,3,7,5,4,5,5,4,1,2,2,1,3,1,2,1,1,1,2,6,6,7,7,6,5,3,3,2,3,3,3,3,1,2,1,5,3,5,6,3,5,3,5,1,1,1,1,1,1,2,1,3,1,1,1,2,6,5,7,7,7,2,1,2,1,1,1,6,5,6,5,6,6,2,3,3,2,2,2,2,2,6,1,3,5,1,1959,"2",2,NA,"2",5,"Rep.","",6,"7","3",57,NA,NA,NA,NA,NA,NA,"2","B"
"86","154786",1,1,1,1,1,1,7,4,7,7,7,3,1,1,1,1,1,1,1,4,1,1,1,4,7,3,7,6,7,4,4,4,4,4,4,4,1,1,1,1,5,1,7,7,7,7,7,5,1,1,1,1,1,1,7,1,5,1,1,1,3,7,5,3,3,3,7,1,4,4,4,4,7,7,7,7,7,7,1,1,1,1,1,4,7,4,7,7,7,7,1,1955,"3",4,NA,"2",2,"Dem.","",2,"7","3",61,NA,NA,NA,NA,NA,NA,"1","B"
"87","154799",2,1,3,3,4,4,5,6,4,3,5,3,4,1,3,3,2,5,2,6,1,5,4,2,2,6,3,7,5,2,2,5,5,4,6,4,3,5,3,2,6,4,3,5,4,6,4,5,3,4,3,4,4,3,5,4,2,3,1,2,3,3,4,3,5,6,3,2,2,3,3,4,6,1,5,3,5,3,4,2,2,3,4,1,4,6,6,5,4,7,2,1992,"4",0,NA,"2",2,"Dem.","",4,"1","3",24,NA,NA,NA,NA,NA,NA,"1","B"
"88","154800",5,1,1,2,4,2,5,5,5,3,3,1,3,1,2,1,1,4,1,2,1,1,1,2,6,4,6,6,3,5,2,4,3,2,3,3,1,2,1,1,2,5,6,4,6,7,3,2,1,1,1,1,1,1,7,1,2,1,1,2,2,6,4,3,3,3,3,1,1,1,1,1,7,6,5,3,5,4,1,2,2,2,1,2,1,1,6,1,2,3,2,1990,"1",0,NA,"2",2,"Ind.","",3,"1","3",26,NA,NA,NA,NA,NA,NA,"1","A"
"89","154805",3,3,3,2,2,5,2,3,4,6,6,6,3,2,5,4,3,4,3,3,3,3,2,2,2,3,3,4,4,4,2,3,7,3,4,4,5,4,2,2,2,4,5,5,3,4,6,2,3,2,3,2,2,2,5,2,4,2,4,2,5,2,2,4,5,2,3,4,4,5,3,4,7,4,4,3,2,2,6,4,3,3,2,4,6,4,3,4,2,2,2,1991,"1",0,NA,"1",4,"Dem.","",2,"1","3",25,NA,NA,NA,NA,NA,NA,"2","B"
"90","154809",1,1,1,2,1,1,7,7,7,3,7,2,2,1,2,1,1,1,1,7,1,2,1,5,7,2,7,5,7,5,1,3,1,3,2,5,1,4,1,1,5,1,6,4,5,7,4,7,1,1,1,1,1,1,3,1,5,5,3,1,4,7,4,4,7,4,2,1,2,2,2,3,7,6,4,7,3,6,2,5,4,4,1,3,2,2,6,3,2,7,1,1987,"4",0,NA,"2",4,"Rep.","",6,"1","3",29,NA,NA,NA,NA,NA,NA,"2","B"
"91","154812",5,4,3,3,3,3,1,6,5,4,5,1,3,2,2,3,3,4,3,3,3,3,5,5,6,5,6,4,6,4,4,3,2,3,2,4,5,4,5,3,5,4,5,5,5,5,2,5,3,4,3,3,3,3,6,3,5,2,5,5,5,4,5,5,6,5,5,3,5,4,3,4,5,5,6,5,5,5,3,3,4,4,5,3,3,3,5,4,4,5,2,1983,"1",0,NA,"2",4,"Ind.","",1,"2","3",33,NA,NA,NA,NA,NA,NA,"2","A"
"92","154813",1,1,1,3,1,1,5,4,5,3,4,1,2,1,1,1,1,3,1,6,1,3,1,3,4,1,4,5,5,4,3,5,2,2,2,5,2,6,2,2,6,5,5,5,5,6,4,4,1,1,1,1,2,1,7,6,5,7,5,7,3,4,5,4,6,4,6,3,2,3,2,3,7,3,6,5,7,6,1,3,4,3,2,2,4,3,6,4,3,3,1,1990,"1",0,NA,"2",6,"Dem.","",4,"1","3",26,NA,NA,NA,NA,NA,NA,"3","A"
"93","154814",1,1,2,2,5,2,5,6,5,3,3,3,3,3,3,3,3,5,2,3,1,3,2,2,5,3,5,4,3,4,3,3,3,3,4,3,4,3,2,2,5,3,4,5,4,5,4,5,3,2,3,3,1,2,6,3,4,4,5,3,2,3,3,3,3,5,2,4,4,2,3,3,6,4,5,4,5,3,2,3,3,4,4,4,3,2,2,2,3,3,2,1993,"4",0,NA,"2",5,"Dem.","",3,"1","3",23,NA,NA,NA,NA,NA,NA,"2","B"
"94","154815",1,1,1,1,1,2,5,7,7,6,7,4,1,1,1,1,1,1,1,2,1,1,1,1,1,7,7,6,6,5,1,1,1,1,1,1,1,5,2,3,1,1,7,6,5,6,6,7,1,1,1,1,1,1,7,1,1,3,1,1,2,6,5,6,6,6,4,1,1,1,1,1,7,5,5,5,1,1,1,5,3,3,4,4,1,1,4,1,1,3,1,1992,"2",4,NA,"2",2,"Ind.","",3,"2","3",24,NA,NA,NA,NA,NA,NA,"1","B"
"95","154817",1,1,1,1,1,1,7,6,6,6,7,1,1,3,2,1,1,1,1,4,1,1,1,1,5,4,5,5,5,7,1,2,2,1,1,1,1,1,3,2,1,1,7,7,3,6,6,7,1,1,3,3,1,1,5,1,1,1,1,1,3,7,7,6,7,6,3,1,1,3,2,2,7,2,7,2,1,6,1,7,3,4,4,4,1,1,6,2,1,4,1,1955,"2",0,NA,"2",4,"Rep.","",3,"2","3",61,NA,NA,NA,NA,NA,NA,"2","A"
"96","154818",1,3,1,3,1,5,7,7,6,3,7,3,7,7,4,1,4,7,7,7,7,7,7,7,5,3,5,5,5,5,7,7,7,7,7,7,5,3,3,1,3,5,5,7,7,7,3,7,4,7,1,1,3,1,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,7,4,7,7,7,7,7,7,5,1,1,3,1,1,3,4,4,7,4,6,4,2,1988,"1",1,NA,"1",2,"Dem.","",6,"1","3",28,NA,NA,NA,NA,NA,NA,"1","A"
"97","154820",1,1,2,4,3,6,7,7,6,4,4,2,6,4,6,2,2,7,1,2,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,3,4,7,7,6,7,5,4,1,2,1,1,1,2,1,1,1,1,1,1,6,7,7,6,7,7,2,1,1,4,1,4,6,4,2,3,4,1,2,5,5,3,3,6,6,2,6,3,3,6,2,1973,"2",2,NA,"2",4,"Dem.","",3,"1","3",43,NA,NA,NA,NA,NA,NA,"2","A"
"98","154821",6,2,5,1,6,7,2,3,3,5,3,1,5,7,4,1,3,6,6,5,7,3,7,5,5,3,6,7,5,4,3,4,5,2,4,3,7,7,1,1,1,5,2,3,7,6,6,4,2,7,1,1,1,1,6,3,7,7,7,7,2,6,3,3,2,2,5,1,4,7,4,5,7,7,7,7,7,5,1,1,2,1,2,3,1,1,5,1,2,3,2,1983,"4",0,NA,"2",2,"Dem.","",4,"1","3",33,NA,NA,NA,NA,NA,NA,"1","B"
"99","154824",1,1,1,1,1,1,5,5,5,5,7,3,1,1,1,1,1,1,1,6,1,1,1,1,4,3,4,4,3,4,1,3,1,1,1,1,1,1,1,1,1,1,6,6,7,7,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,7,7,6,6,6,4,1,1,1,1,1,6,4,6,6,1,1,2,2,4,4,3,4,4,1,4,4,1,1,1,1970,"2",1,NA,"2",2,"Dem.","",5,"1","3",46,NA,NA,NA,NA,NA,NA,"1","A"
"100","154825",2,3,2,2,2,4,3,3,3,3,5,2,2,2,2,2,2,2,2,5,2,2,2,2,3,3,6,4,4,4,2,2,2,2,2,2,3,2,2,2,4,2,3,3,5,3,5,3,2,2,2,2,2,2,4,2,2,2,4,2,4,3,4,3,3,5,2,2,2,2,2,2,5,4,4,4,4,4,3,4,3,3,3,3,2,2,2,2,2,2,2,1984,"4",0,NA,"2",4,"Dem.","",2,"1","3",32,NA,NA,NA,NA,NA,NA,"2","A"
"101","154826",2,1,1,2,3,2,5,5,5,2,3,1,4,2,4,2,2,2,2,6,1,5,2,3,6,1,6,5,6,4,2,7,2,2,2,2,1,2,1,1,2,2,5,4,5,6,3,4,1,2,1,1,1,1,5,2,5,1,1,1,2,7,3,4,6,4,3,1,3,3,1,1,5,3,6,3,3,3,1,3,5,3,2,3,2,2,6,3,2,4,2,1986,"1",0,NA,"2",2,"Ind.","",1,"1","3",30,NA,NA,NA,NA,NA,NA,"1","B"
"102","154827",3,5,7,4,2,5,7,6,4,6,5,3,2,7,5,4,6,5,5,1,4,6,6,2,4,2,7,6,6,5,4,2,6,5,2,4,7,3,1,4,5,2,3,2,7,2,2,2,3,3,1,7,4,5,3,6,4,2,2,4,5,2,2,3,7,4,5,3,2,4,4,5,6,2,4,5,3,2,5,7,4,6,4,3,7,3,5,5,4,3,2,1984,"1",0,NA,"2",5,"Dem.","",1,"1","4",32,NA,NA,NA,NA,NA,NA,"2","A"
"103","154828",1,2,1,2,3,1,6,4,7,2,2,4,2,4,2,1,2,2,2,4,3,2,3,2,4,3,3,6,3,7,2,5,2,3,3,4,6,3,1,1,2,3,3,3,6,7,4,3,2,1,1,1,1,1,2,1,1,1,1,1,5,5,5,5,6,5,2,1,2,1,1,1,7,4,7,3,5,6,1,4,3,4,1,3,2,2,5,2,3,4,2,1987,"1",0,NA,"2",2,"Ind.","",5,"2","3",29,NA,NA,NA,NA,NA,NA,"1","A"
"104","154829",5,2,1,5,2,6,7,7,7,4,7,4,6,3,5,2,1,6,1,5,1,1,1,4,7,3,7,5,7,5,5,6,6,5,5,5,5,7,1,2,7,3,2,7,7,7,5,6,3,5,1,1,3,1,6,1,2,6,6,5,5,7,6,3,5,5,5,2,5,3,3,3,7,6,7,5,7,6,1,5,4,5,5,5,6,3,5,4,3,4,1,1991,"4",0,NA,"1",3,"Dem.","",3,"1","3",25,NA,NA,NA,NA,NA,NA,"2","B"
"105","154830",1,1,2,3,1,3,6,6,4,3,6,2,2,2,1,2,1,2,2,3,1,2,2,2,5,5,5,4,5,4,3,3,3,3,3,3,3,3,6,2,7,3,4,5,4,5,4,3,1,2,1,1,2,3,7,5,6,1,1,1,4,3,4,4,5,5,5,3,4,3,1,2,7,5,6,5,6,6,1,3,3,4,3,3,4,3,6,2,4,4,1,1985,"2",2,NA,"2",2,"Rep.","",4,"7","3",31,NA,NA,NA,NA,NA,NA,"1","A"
"106","154831",1,1,1,3,1,1,5,7,7,5,7,6,4,1,1,1,1,1,1,4,1,4,1,1,5,4,5,3,4,5,3,3,3,2,2,3,1,7,1,1,1,1,4,5,7,7,7,5,1,6,1,1,1,1,7,1,1,5,4,1,3,5,5,3,4,4,7,1,1,3,3,1,7,7,7,7,3,5,1,2,3,3,3,3,2,3,7,3,1,3,2,1986,"2",0,NA,"2",4,"Ind.","",4,"1","3",30,NA,NA,NA,NA,NA,NA,"2","A"
"107","154833",4,1,2,4,1,2,3,6,5,6,6,4,4,2,4,2,1,3,2,6,1,2,1,4,7,5,4,5,7,6,2,4,2,2,1,3,2,2,2,1,2,2,5,6,6,7,6,5,2,2,1,1,1,2,2,3,1,2,1,1,6,4,7,4,7,7,2,2,1,2,2,1,5,6,2,2,7,6,1,3,5,4,2,5,1,3,5,2,3,5,1,1989,"4",0,NA,"2",5,"Rep.","",4,"1","3",27,NA,NA,NA,NA,NA,NA,"2","A"
"108","154834",2,7,2,2,1,2,7,6,6,5,6,3,3,4,2,2,1,2,1,2,1,2,1,1,7,2,7,6,7,5,3,4,2,3,4,4,1,7,4,7,5,6,5,7,7,7,6,3,3,4,1,2,2,2,4,2,2,6,2,7,4,5,7,6,7,6,3,3,2,2,2,3,7,7,7,6,7,7,1,2,4,3,3,5,4,4,7,3,3,6,2,1982,"1",0,NA,"2",2,"Dem.","",2,"1","3",34,NA,NA,NA,NA,NA,NA,"1","A"
"109","154835",1,6,1,6,1,1,6,3,6,5,7,4,4,7,1,2,1,4,1,2,1,1,1,1,7,3,7,6,7,6,4,5,1,3,1,2,6,6,1,1,1,6,4,7,7,7,6,3,2,4,1,1,6,2,2,1,1,1,1,1,6,7,5,7,6,7,4,2,4,1,1,1,7,3,6,6,7,6,1,4,6,6,3,5,1,4,7,4,3,5,1,1974,"1",0,NA,"2",2,"Dem.","",1,"9","3",42,NA,NA,NA,NA,NA,NA,"1","B"
